Name,alpha,delta,e_eps,model,pick_neighbor,test/acc,dataset,Unnamed: 0
ce09d10a-ea55-11ed-9aa9-54b20380cf4d,0.5,0.25,8.0,gcn,top,81.34416543574594,cora,
a3bee420-ea55-11ed-9aa9-54b20380cf4d,0.25,0.25,0.1,sage,top,81.0192023633678,cora,
7c052199-ea55-11ed-9aa9-54b20380cf4d,0.75,1.0,8.0,gcn,top,81.71344165435747,cora,
545641f1-ea55-11ed-9aa9-54b20380cf4d,0.75,1.0,1.0,gcn,top,81.71344165435747,cora,
2d3630a4-ea55-11ed-9aa9-54b20380cf4d,1.0,0.1,0.1,sage,top,81.83161004431314,cora,
01d91233-ea55-11ed-9aa9-54b20380cf4d,1.0,0.5,0.1,gat,top,79.76366322008862,cora,
f8669943-ea54-11ed-9aa9-54b20380cf4d,0.75,0.25,inf,sage,top,81.77252584933531,cora,
ef183046-ea54-11ed-9aa9-54b20380cf4d,0.5,1.0,inf,sage,top,81.77252584933531,cora,
c3d2a06d-ea54-11ed-9aa9-54b20380cf4d,0.25,0.25,2.0,gcn,top,81.18168389955686,cora,
9ad661f0-ea54-11ed-9aa9-54b20380cf4d,0.75,1.0,0.1,gat,top,80.13293943870015,cora,
685eaee1-ea54-11ed-9aa9-54b20380cf4d,0.75,0.0,8.0,gat,top,80.72378138847857,cora,
31cfea46-ea54-11ed-9aa9-54b20380cf4d,0.25,0.0,1.0,gat,top,77.66617429837518,cora,
0b334b9c-ea54-11ed-9aa9-54b20380cf4d,0.25,0.5,0.1,sage,top,81.81683899556869,cora,
e18c32a6-ea53-11ed-9aa9-54b20380cf4d,0.75,0.5,8.0,gcn,top,81.83161004431315,cora,
b50b29ab-ea53-11ed-9aa9-54b20380cf4d,0.0,0.1,1.0,sage,top,80.56129985228952,cora,
8bf8d18b-ea53-11ed-9aa9-54b20380cf4d,0.75,0.1,8.0,sage,top,81.80206794682422,cora,
61b05559-ea53-11ed-9aa9-54b20380cf4d,1.0,0.0,0.1,sage,top,80.47267355982274,cora,
336f4065-ea53-11ed-9aa9-54b20380cf4d,0.0,0.0,1.0,sage,top,80.01477104874445,cora,
05b4df47-ea53-11ed-9aa9-54b20380cf4d,0.25,0.0,1.0,sage,top,79.807976366322,cora,
d0c93f22-ea52-11ed-9aa9-54b20380cf4d,0.5,0.1,2.0,gat,top,81.04874446085672,cora,
a6838884-ea52-11ed-9aa9-54b20380cf4d,1.0,0.25,1.0,gat,top,80.45790251107829,cora,
7b091b2b-ea52-11ed-9aa9-54b20380cf4d,0.5,0.5,1.0,gat,top,80.57607090103397,cora,
4d3e5ad8-ea52-11ed-9aa9-54b20380cf4d,0.5,0.1,1.0,gcn,top,80.64992614475628,cora,
243fa13b-ea52-11ed-9aa9-54b20380cf4d,0.0,1.0,1.0,gcn,top,81.71344165435747,cora,
fd9903a2-ea51-11ed-9aa9-54b20380cf4d,0.5,1.0,0.1,sage,top,81.77252584933531,cora,
f41984b1-ea51-11ed-9aa9-54b20380cf4d,0.75,1.0,inf,sage,top,81.77252584933531,cora,
cce1eb03-ea51-11ed-9aa9-54b20380cf4d,1.0,1.0,0.1,sage,top,81.77252584933531,cora,
a6f367a5-ea51-11ed-9aa9-54b20380cf4d,1.0,0.5,1.0,sage,top,81.69867060561299,cora,
820c13d1-ea51-11ed-9aa9-54b20380cf4d,0.0,1.0,8.0,sage,top,81.77252584933531,cora,
5b6f5281-ea51-11ed-9aa9-54b20380cf4d,0.5,0.5,0.1,sage,top,81.7725258493353,cora,
30199c9c-ea51-11ed-9aa9-54b20380cf4d,0.5,0.1,1.0,sage,top,80.39881831610045,cora,
f9e2fb98-ea50-11ed-9aa9-54b20380cf4d,0.5,0.0,2.0,gat,top,78.1831610044313,cora,
cc2dc86b-ea50-11ed-9aa9-54b20380cf4d,0.75,0.0,2.0,sage,top,81.43279172821269,cora,
